,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.711,0.287,100,1,5.3882598876953125e-05
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,200,1,8.20159912109375e-05
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,300,1,0.00011301040649414062
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,400,1,0.00014591217041015625
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500,1,0.00017189979553222656
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,600,1,0.0002892017364501953
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,700,1,0.00028395652770996094
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,800,1,0.00033092498779296875
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,900,1,0.0003688335418701172
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000,1,0.00048089027404785156
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100,1,0.0003421306610107422
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,1200,1,0.00045990943908691406
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,1300,1,0.0004000663757324219
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,1400,1,0.0004279613494873047
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,1500,1,0.0005731582641601562
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978,0.022,1600,1,0.0006389617919921875
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,1700,1,0.00057220458984375
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,1800,1,0.0005359649658203125
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,1900,1,0.0006029605865478516
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2000,1,0.0007159709930419922
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,2100,1,0.0007679462432861328
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2200,1,0.0006368160247802734
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,2300,1,0.0007872581481933594
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,2400,1,0.0006840229034423828
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500,1,0.0007150173187255859
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2600,1,0.0008051395416259766
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2700,1,0.0007839202880859375
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2800,1,0.0010879039764404297
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2900,1,0.00080108642578125
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3000,1,0.0008111000061035156
30,0.0,0.007,0.0,0.011,0.0,0.001,0.0,0.0,0.653,0.328,100,2,5.1021575927734375e-05
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,0.014,200,2,8.296966552734375e-05
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.023,300,2,0.00011301040649414062
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939,0.061,400,2,0.000141143798828125
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.048,500,2,0.00016999244689941406
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,0.151,600,2,0.0002551078796386719
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.164,700,2,0.00023412704467773438
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.214,800,2,0.0002608299255371094
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815,0.185,900,2,0.0003650188446044922
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,0.118,1000,2,0.0003571510314941406
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.115,1100,2,0.0003447532653808594
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939,0.061,1200,2,0.0004878044128417969
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.109,1300,2,0.0004010200500488281
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.073,1400,2,0.0004971027374267578
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.07,1500,2,0.0005991458892822266
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822,0.178,1600,2,0.00048613548278808594
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803,0.197,1700,2,0.0005030632019042969
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.848,0.152,1800,2,0.0005381107330322266
