,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814,0.186,1900,2,0.0005571842193603516
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819,0.181,2000,2,0.000579833984375
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,0.208,2100,2,0.0006489753723144531
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823,0.177,2200,2,0.000823974609375
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.188,2300,2,0.0006551742553710938
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.089,2400,2,0.0007097721099853516
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896,0.104,2500,2,0.0007097721099853516
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.103,2600,2,0.0008609294891357422
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.085,2700,2,0.0010838508605957031
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.144,2800,2,0.0010380744934082031
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801,0.199,2900,2,0.0008339881896972656
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.167,3000,2,0.0008280277252197266
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.017,100,3,5.1021575927734375e-05
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871,0.129,200,3,8.0108642578125e-05
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.275,300,3,0.00011301040649414062
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.084,400,3,0.00014162063598632812
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904,0.096,500,3,0.0002269744873046875
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.07,600,3,0.0002491474151611328
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,700,3,0.00023102760314941406
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.127,800,3,0.0002529621124267578
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.108,900,3,0.00028324127197265625
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.106,1000,3,0.00031685829162597656
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931,0.069,1100,3,0.0004558563232421875
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,1200,3,0.0003781318664550781
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.049,1300,3,0.0003998279571533203
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911,0.089,1400,3,0.0008168220520019531
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,0.084,1500,3,0.00045108795166015625
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,0.042,1600,3,0.00048470497131347656
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,0.113,1700,3,0.0008780956268310547
